query,true_response
How do I reset my password?,Click on 'Forgot Password' on the login page to reset your password.
What is your refund policy?,You can return items within 30 days of purchase.
Can I change my shipping address?,"Yes, you can update it before the item is shipped."
How long does delivery take?,Delivery typically takes 3-5 business days.
Do you offer international shipping?,"Yes, we ship to most countries worldwide."
Can I cancel my order?,"Yes, you can cancel your order within 24 hours of placing it."
Where can I track my order?,You can track your order from your account dashboard under 'Orders'.
What payment methods do you accept?,"We accept Visa, MasterCard, PayPal, and Apple Pay."
Do you have a mobile app?,"Yes, our mobile app is available on iOS and Android."
Is customer support available 24/7?,"Yes, our customer support team is available 24/7 via chat and email."
